time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-05-11,190.2,205.23,172.91,172.91,885292.38,167180496.76,force_direct,
2019-05-12,188.11,204.32,181.0,190.2,823372.28,157611011.73,force_direct,
2019-05-13,195.84,206.87,185.32,188.11,669265.47,131102303.14,force_direct,
2019-05-14,216.4,219.81,194.19,195.84,864211.01,179717430.31,force_direct,
2019-05-15,248.1,250.27,216.21,216.4,574697.3,135054369.62,force_direct,
2019-05-16,264.25,279.76,241.76,248.1,1733360.89,452410350.05,force_direct,
2019-05-17,244.3,268.74,223.43,264.25,1529892.57,366429299.2,force_direct,
2019-05-18,233.6,248.0,230.62,244.3,673218.1,160450040.81,force_direct,
2019-05-19,259.51,264.0,231.77,233.6,823859.06,207383027.83,force_direct,
2019-05-20,250.37,259.51,238.0,259.51,666889.82,165783106.08,force_direct,
2019-05-21,253.43,262.0,246.06,250.37,580249.7,146749988.27,force_direct,
2019-05-22,243.64,260.18,239.63,253.43,592848.96,149006735.64,force_direct,
2019-05-23,244.56,247.34,231.1,243.64,600193.89,144051488.88,force_direct,
2019-05-24,248.87,254.35,241.54,244.56,447066.93,111294049.37,force_direct,
2019-05-25,250.22,257.33,247.22,248.87,332544.39,83665127.84,force_direct,
2019-05-26,264.45,269.4,245.11,250.22,450090.22,115089467.79,force_direct,
2019-05-27,270.53,279.59,260.0,264.45,635463.5,170250734.89,force_direct,
2019-05-28,271.03,275.95,264.45,270.53,409443.69,110617403.69,force_direct,
2019-05-29,268.83,274.04,260.05,271.03,383412.46,102868997.43,force_direct,
2019-05-30,254.56,288.62,240.14,268.83,1066279.49,289930479.36,force_direct,
2019-05-31,267.9,268.72,245.21,254.56,602153.87,154783065.77,force_direct,
2019-06-01,264.33,275.5,260.68,267.9,455676.99,121851235.76,force_direct,
2019-06-02,268.88,273.2,263.2,264.33,301536.15,80960737.41,force_direct,
2019-06-03,249.91,270.0,248.0,268.88,397360.65,103602836.68,force_direct,
2019-06-04,241.39,251.67,234.39,249.91,633822.71,154709331.29,force_direct,
2019-06-05,245.63,250.41,237.37,241.39,335953.38,81839286.62,force_direct,
2019-06-06,248.76,250.66,235.01,245.63,297579.15,72417630.0,force_direct,
2019-06-07,248.77,253.28,243.46,248.76,353378.66,87644279.25,force_direct,
2019-06-08,243.25,250.53,240.37,248.77,188448.28,46293916.79,force_direct,
2019-06-09,230.98,244.53,226.56,243.25,316931.86,74594101.42,force_direct,
2019-06-10,246.51,247.45,227.03,230.98,314662.53,75090336.66,force_direct,
2019-06-11,244.29,247.8,236.49,246.51,237508.43,57549753.74,force_direct,
2019-06-12,261.15,261.87,242.2,244.29,336499.3,84660448.57,force_direct,
2019-06-13,254.67,262.98,253.69,261.15,291757.22,75447391.04,force_direct,
2019-06-14,262.47,264.26,251.75,254.67,327383.28,84045849.54,force_direct,
2019-06-15,267.82,272.27,260.61,262.47,286594.98,76053046.55,force_direct,
2019-06-16,267.73,277.06,263.31,267.82,458176.54,123848161.47,force_direct,
2019-06-17,273.16,276.0,266.81,267.73,339277.67,91807270.71,force_direct,
2019-06-18,264.66,273.58,261.45,273.16,319941.55,85335852.93,force_direct,
2019-06-19,268.14,270.0,263.59,264.66,208375.68,55665919.15,force_direct,
2019-06-20,271.22,273.63,265.71,268.14,200717.77,53998507.96,force_direct,
2019-06-21,294.35,295.94,271.22,271.22,519818.07,148641528.53,force_direct,
2019-06-22,310.79,314.39,289.69,294.35,726254.67,222036096.34,force_direct,
2019-06-23,308.52,321.7,305.58,310.79,418812.03,131252843.53,force_direct,
2019-06-24,311.64,314.41,298.0,308.52,352791.27,108439071.64,force_direct,
2019-06-25,318.26,318.99,307.0,311.64,345559.65,108143161.23,force_direct,
2019-06-26,339.39,366.8,315.57,318.26,1008551.29,341534154.53,force_direct,
2019-06-27,298.35,347.0,280.01,339.39,1016826.45,315174509.71,force_direct,
2019-06-28,311.05,313.58,295.22,298.35,529174.48,161838706.79,force_direct,
2019-06-29,317.62,324.74,295.18,311.05,425555.16,130425514.05,force_direct,
2019-06-30,292.7,323.5,290.12,317.62,489028.57,149527443.58,force_direct,
2019-07-01,295.07,303.49,280.13,292.7,489769.27,142871936.76,force_direct,
2019-07-02,291.48,297.57,272.65,295.07,493772.97,140020251.93,force_direct,
2019-07-03,301.14,302.89,285.0,291.48,370521.97,109262202.23,force_direct,
2019-07-04,282.73,302.74,280.53,301.14,270791.37,79507234.74,force_direct,
2019-07-05,287.47,294.89,280.78,282.73,261139.28,75165110.7,force_direct,
2019-07-06,288.29,296.71,285.28,287.47,196064.65,57137782.6,force_direct,
2019-07-07,304.72,309.69,284.25,288.29,246111.37,73170809.76,force_direct,
2019-07-08,311.97,313.74,300.78,304.72,289607.34,88890021.75,force_direct,
2019-07-09,307.46,318.19,302.69,311.97,309447.35,96199378.54,force_direct,
2019-07-10,289.23,314.18,281.04,307.46,457080.94,135779813.61,force_direct,
2019-07-11,268.63,289.23,262.12,289.23,501592.75,136450969.65,force_direct,
2019-07-12,274.62,278.99,266.21,268.63,266734.54,72743548.04,force_direct,
2019-07-13,268.79,275.04,262.2,274.62,205959.27,55323572.09,force_direct,
2019-07-14,225.85,269.74,222.81,268.79,540052.58,130785859.0,force_direct,
